,StudentID,Throughout 1st Class?,10th Percentage,10+2 Percentage,P[acement Status,Logical Ability Score (out of 900),English Comprehension Score (out of 900),Quantitative Ability Score (out of 900),Automata Fix Score (out of 100),Computer Programming Score (out of 900),ART,EUT,QAT,WET,EAT,Coding,P%
0,SID0073,0.0,81.7,57.8,0.0,495,375,335,0,475,64,64,34,60.9,60,0,22.88135593220339
1,SID0098,0.0,58.0,60.25,1.0,670,525,360,15,365,64,72,72,53.3,23.33,81,91.37931034482759
2,SID0026,0.0,73.67,59.25,1.0,520,590,510,15,510,54,66,40,63,55,0,26.27118644067797
3,SID0115,0.0,62.7,53.2,1.0,-2,-2,-2,-2,-2,40,74,54,47.9,40,45,95.72649572649573
4,SID0195,1.0,68.4,64.2,1.0,570,575,390,0,570,46,56,44,72.1,48.33,0,81.89655172413794
5,SID0060,1.0,85.5,79.6,1.0,-2,-2,-2,-2,180,38,42,20,66.1,10,0,90.51724137931035
6,SID0090,1.0,60.8,66.2,1.0,275,335,395,0,260,32,40,18,55.7,16.67,0,93.10344827586206
7,SID0157,0.0,53.29,54.8,0.0,575,535,425,15,480,34,58,58,51.8,53.33,0,99.14529914529915
8,SID0037,1.0,83.6,86.0,1.0,585,465,725,15,555,62,68,60,88.5,60,0,94.82758620689656
9,SID0176,1.0,66.5,61.6,0.0,450,470,650,0,380,18,42,18,Absent,36.67,0,33.33333333333333
10,SID0100,0.0,55.0,65.6,0.0,495,365,795,0,520,50,58,42,34.2,45,0,98.29059829059828
11,SID0138,0.0,74.1,54.6,1.0,600,470,725,15,565,44,54,8,16,23.33,36,97.43589743589743
12,SID0072,1.0,81.67,60.0,1.0,570,540,685,15,550,52,58,40,68.5,50,45,16.666666666666664
13,SID0096,1.0,79.23,76.0,0.0,525,340,435,0,490,36,52,36,34.8,40,0,95.6896551724138
14,SID0058,1.0,80.6,68.0,1.0,490,470,305,29,475,48,54,46,60.7,33.33,0,85.34482758620689
15,SID0210,0.0,62.7,57.6,0.0,-2,-2,-2,0,320,28,46,42,58.9,45,36,86.32478632478633
16,SID0189,1.0,68.67,62.4,1.0,550,565,460,0,400,44,50,28,34.1,50,0,74.07407407407408
17,SID0150,1.0,76.0,65.4,0.0,530,345,295,0,460,56,58,52,42.4,38.33,0,41.88034188034188
18,SID0075,0.0,79.8,80.4,1.0,-2,-2,-2,0,365,52,48,20,60.2,30,0,47.61904761904761
19,SID0065,1.0,70.3,63.6,1.0,505,345,365,0,145,56,54,22,70.6,50,0,100.0
20,SID0140,1.0,83.33,91.0,1.0,620,525,365,29,505,58,70,28,36.8,45,0,59.25925925925925
21,SID0110,1.0,79.8,67.4,1.0,300,425,300,0,320,46,0,34,56.5,28.33,0,87.06896551724138
22,SID0057,1.0,68.8,75.8,1.0,585,370,470,15,375,30,66,26,65.3,51.67,0,93.16239316239316
23,SID0186,0.0,70.3,46.2,1.0,-2,-2,-2,-2,675,58,68,48,52,48.33,0,94.01709401709401
24,SID0088,1.0,83.6,74.17,1.0,-2,-2,-2,-2,-2,66,82,48,82.4,81.67,36,
25,SID0043,1.0,70.3,65.0,1.0,670,585,715,29,525,70,72,40,83.3,66.67,0,77.77777777777779
26,SID0101,0.0,65.8,50.2,1.0,-2,-2,-2,0,510,72,88,42,72.9,63.33,0,98.29059829059828
27,SID0083,1.0,66.2,68.2,1.0,565,390,620,0,485,52,70,42,59,51.67,0,100.0
28,SID0203,1.0,62.6,69.6,1.0,565,460,320,15,510,44,60,24,30.1,30,0,88.88888888888889
29,SID0032,1.0,100.0,74.4,1.0,645,700,720,58,620,70,66,30,74.3,1.67,45,74.07407407407408
30,SID0025,0.0,92.86,54.6,1.0,-2,-2,-2,-2,590,86,70,78,84,85,0,77.77777777777779
31,SID0070,0.0,68.4,53.2,0.0,300,470,270,0,350,38,58,20,27.5,48.33,0,94.01709401709401
32,SID0046,1.0,64.33,82.8,0.0,655,620,770,43,635,58,52,56,81.4,60,81,75.0
33,SID0146,1.0,85.5,83.83,1.0,550,635,485,29,535,68,68,36,71,63.33,60,100.0
34,SID0145,1.0,89.3,87.4,1.0,-2,-2,-2,15,615,66,62,34,73.9,41.67,60,
35,SID0014,1.0,72.2,63.4,1.0,640,595,730,58,585,46,56,60,61.4,58.33,8,66.66666666666666
36,SID0139,0.0,83.6,73.8,1.0,545,510,665,0,590,54,62,40,43.9,55,39,88.88888888888889
37,SID0061,1.0,72.67,67.6,1.0,-2,-2,-2,-2,465,56,56,32,52.4,53.33,0,87.93103448275862
38,SID0108,0.0,56.8,64.6,1.0,560,420,520,0,485,50,6,38,26.2,33.33,81,94.01709401709401
39,SID0152,0.0,54.67,51.86,0.0,375,405,665,58,555,30,26,28,56,30,0,64.1025641025641
40,SID0069,1.0,79.8,75.8,0.0,635,490,615,29,550,74,72,64,78,70,39,100.0
41,SID0066,1.0,86.2,74.2,0.0,475,380,390,0,355,40,42,28,0,31.67,0,48.717948717948715
42,SID0208,1.0,64.6,66.4,1.0,530,435,690,0,435,18,30,30,62.9,36.67,0,100.0
43,SID0168,1.0,72.2,64.6,0.0,590,595,645,0,385,42,66,36,72.4,45,0,10.714285714285714
44,SID0192,1.0,76.0,68.4,1.0,555,665,695,0,640,42,84,82,55.7,78.33,45,98.27586206896551
45,SID0213,1.0,92.6,68.2,1.0,,,,,,,,,,,,
46,SID0007,1.0,87.4,67.8,1.0,395,470,450,15,445,46,48,36,26.8,33.33,0,98.27586206896551
47,SID0020,1.0,60.8,62.2,0.0,315,555,350,0,225,60,70,64,62.6,68.33,81,88.88888888888889
48,SID0131,0.0,62.0,59.6,1.0,575,545,770,43,495,56,52,50,62.3,35,0,99.14529914529915
49,SID0142,0.0,93.1,57.41,1.0,470,585,290,0,345,22,52,10,66,23.33,0,76.06837606837607
